date,date,open,high,low,close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-02-17 00:00:00,2023-02-17 00:00:00,23517.72,23778.22,23339.37,23713.37,31282.73281,1676595599999.0,738712579.8936069,577385.0,15274.22087,360727582.5173223,0.0
2023-02-17 01:00:00,2023-02-17 01:00:00,23713.37,23880.0,23638.63,23849.87,15379.34959,1676599199999.0,365047875.2332395,347226.0,7872.54065,186888989.1540436,0.0
2023-02-17 02:00:00,2023-02-17 02:00:00,23849.87,23854.85,23751.85,23772.31,11831.98393,1676602799999.0,281783881.0183204,295976.0,5841.44995,139118559.9559311,0.0
2023-02-17 03:00:00,2023-02-17 03:00:00,23772.31,23914.58,23757.14,23838.64,10741.72608,1676606399999.0,256124573.231112,267094.0,5360.45765,127812563.061121,0.0
2023-02-17 04:00:00,2023-02-17 04:00:00,23838.64,23883.12,23722.61,23805.15,11299.23061,1676609999999.0,268910765.3480657,281517.0,5525.18315,131495901.7517118,0.0
2023-02-17 05:00:00,2023-02-17 05:00:00,23805.14,23812.29,23686.29,23707.55,9338.55867,1676613599999.0,221722905.2293138,239190.0,4526.82319,107479434.1637845,0.0
2023-02-17 06:00:00,2023-02-17 06:00:00,23708.43,23751.09,23612.0,23668.1,10371.84194,1676617199999.0,245714669.4299029,275192.0,5042.11812,119456611.5426913,0.0
2023-02-17 07:00:00,2023-02-17 07:00:00,23668.1,23786.11,23628.36,23637.04,12771.75222,1676620799999.0,302941111.364068,317119.0,6334.48631,150256845.8063573,0.0
2023-02-17 08:00:00,2023-02-17 08:00:00,23635.84,23814.31,23532.69,23797.21,17757.41584,1676624399999.0,419963941.0784159,401346.0,8891.43305,210308556.7959994,0.0
2023-02-17 09:00:00,2023-02-17 09:00:00,23797.9,23861.78,23712.21,23743.22,15867.07568,1676627999999.0,377172381.4913259,357188.0,7840.61773,186385034.870799,0.0
2023-02-17 10:00:00,2023-02-17 10:00:00,23743.01,23790.0,23672.62,23753.42,12383.20979,1676631599999.0,293995014.1633168,309850.0,6186.47023,146881272.7079562,0.0
2023-02-17 11:00:00,2023-02-17 11:00:00,23754.17,23842.02,23735.68,23789.82,12220.74874,1676635199999.0,290729199.8546291,313281.0,6296.23959,149786770.8901142,0.0
2023-02-17 12:00:00,2023-02-17 12:00:00,23789.12,23909.87,23766.62,23869.46,13034.68804,1676638799999.0,310705896.5400102,336037.0,6600.42739,157335991.7506162,0.0
2023-02-17 13:00:00,2023-02-17 13:00:00,23870.38,23888.96,23753.0,23782.23,13862.89414,1676642399999.0,330191030.6015931,342935.0,6725.59092,160198775.9862791,0.0
2023-02-17 14:00:00,2023-02-17 14:00:00,23783.12,24247.38,23710.0,23865.86,45917.88542,1676645999999.0,1100840352.4175465,858832.0,23062.31263,552938341.4231547,0.0
2023-02-17 15:00:00,2023-02-17 15:00:00,23863.31,24280.0,23850.08,24130.5,45625.639,1676649599999.0,1098705010.2477984,839463.0,23207.06282,558856708.5768026,0.0
2023-02-17 16:00:00,2023-02-17 16:00:00,24130.5,24332.75,23917.65,24091.21,35316.57039,1676653199999.0,851731374.618534,698211.0,17551.85878,423332165.9868419,0.0
2023-02-17 17:00:00,2023-02-17 17:00:00,24091.21,24520.0,24084.84,24298.35,38963.57536,1676656799999.0,948897786.0848843,739058.0,19798.11099,482151991.8749265,0.0
2023-02-17 18:00:00,2023-02-17 18:00:00,24298.35,24416.65,24219.23,24360.66,20126.45396,1676660399999.0,489866157.2633653,441210.0,10031.70261,244175272.4809298,0.0
2023-02-17 19:00:00,2023-02-17 19:00:00,24360.66,24560.64,24237.26,24524.49,20792.32651,1676663999999.0,507852233.0300232,465017.0,10690.2932,261123439.9151541,0.0
2023-02-17 20:00:00,2023-02-17 20:00:00,24524.49,25021.11,24515.0,24820.92,39772.98539,1676667599999.0,987515297.5664123,824856.0,20570.7175,510763075.0041717,0.0
2023-02-17 21:00:00,2023-02-17 21:00:00,24820.92,24835.06,24405.88,24476.42,14519.73676,1676671199999.0,358644022.0394866,369935.0,7082.82694,174970955.8069282,0.0
2023-02-17 22:00:00,2023-02-17 22:00:00,24476.42,24737.84,24051.73,24679.14,25168.57642,1676674799999.0,613782906.2627352,647059.0,12535.40057,305775959.144731,0.0
2023-02-17 23:00:00,2023-02-17 23:00:00,24678.09,24750.0,24511.81,24569.97,12466.25647,1676678399999.0,306981288.0496234,350032.0,6239.6029,153649687.1769995,0.0
2023-02-18 00:00:00,2023-02-18 00:00:00,24568.24,24787.5,24533.54,24632.74,14048.10305,1676681999999.0,346530726.6735363,367513.0,6941.89747,171238471.5354458,0.0
2023-02-18 01:00:00,2023-02-18 01:00:00,24631.51,24683.73,24572.32,24660.14,8808.17186,1676685599999.0,216884759.0671967,274594.0,4380.82435,107877497.1101758,0.0
2023-02-18 02:00:00,2023-02-18 02:00:00,24660.14,24674.31,24503.49,24555.86,7350.94813,1676689199999.0,180709380.815202,246990.0,3488.07371,85746969.4216247,0.0
2023-02-18 03:00:00,2023-02-18 03:00:00,24556.61,24639.55,24535.32,24609.68,7781.93363,1676692799999.0,191325715.7143805,230503.0,3991.48016,98139865.3275274,0.0
2023-02-18 04:00:00,2023-02-18 04:00:00,24609.68,24653.86,24592.88,24624.01,7047.01943,1676696399999.0,173575627.5337949,217598.0,3603.81598,88768231.8339067,0.0
2023-02-18 05:00:00,2023-02-18 05:00:00,24624.01,24646.78,24600.0,24641.42,6233.46269,1676699999999.0,153493741.5168183,188734.0,3019.21,74349041.2893103,0.0
2023-02-18 06:00:00,2023-02-18 06:00:00,24641.8,24676.9,24607.42,24626.66,6743.29848,1676703599999.0,166147496.9157444,213471.0,3323.68707,81896221.0724745,0.0
2023-02-18 07:00:00,2023-02-18 07:00:00,24625.86,24626.65,24430.0,24519.01,11328.47007,1676707199999.0,278171220.0001169,292138.0,5384.49122,132215982.0881166,0.0
2023-02-18 08:00:00,2023-02-18 08:00:00,24519.01,24607.82,24458.82,24588.51,10048.15449,1676710799999.0,246518350.0850518,294747.0,5172.28135,126898484.4898986,0.0
2023-02-18 09:00:00,2023-02-18 09:00:00,24588.51,24596.02,24540.49,24553.04,6953.7028,1676714399999.0,170810672.6494981,219983.0,3437.69002,84444944.5711029,0.0
2023-02-18 10:00:00,2023-02-18 10:00:00,24553.43,24566.32,24453.23,24456.81,8361.8501,1676717999999.0,204951500.9671567,259293.0,3989.11832,97774718.9160364,0.0
2023-02-18 11:00:00,2023-02-18 11:00:00,24456.72,24555.89,24436.46,24519.42,8594.00275,1676721599999.0,210567828.6224186,261600.0,4280.58589,104885956.1873163,0.0
2023-02-18 12:00:00,2023-02-18 12:00:00,24519.93,24647.94,24488.43,24620.33,11762.2014,1676725199999.0,289177940.148649,299795.0,6042.30623,148555583.9917282,0.0
2023-02-18 13:00:00,2023-02-18 13:00:00,24619.18,24644.06,24559.02,24581.77,8910.22417,1676728799999.0,219217453.3369254,261399.0,4227.84372,104022489.2389447,0.0
2023-02-18 14:00:00,2023-02-18 14:00:00,24581.77,24734.32,24531.68,24691.13,12710.26416,1676732399999.0,312760372.1417154,335141.0,6599.80734,162413907.5860607,0.0
2023-02-18 15:00:00,2023-02-18 15:00:00,24692.09,24723.92,24627.07,24668.26,11617.8337,1676735999999.0,286787141.9827048,312186.0,5656.51141,139635803.6613504,0.0
2023-02-18 16:00:00,2023-02-18 16:00:00,24667.02,24694.01,24635.01,24642.84,8895.93306,1676739599999.0,219378974.883112,253371.0,4241.34863,104596607.9224273,0.0
2023-02-18 17:00:00,2023-02-18 17:00:00,24642.19,24713.09,24577.0,24686.0,11012.14534,1676743199999.0,271507290.0866995,285691.0,5484.53366,135229369.0721233,0.0
2023-02-18 18:00:00,2023-02-18 18:00:00,24685.26,24877.0,24640.13,24710.54,16766.7338,1676746799999.0,414864538.2927248,414281.0,8433.05055,208672178.5629361,0.0
2023-02-18 19:00:00,2023-02-18 19:00:00,24710.18,24734.14,24567.9,24608.34,8838.64562,1676750399999.0,217891973.264939,262150.0,4302.805,106074986.9999875,0.0
2023-02-18 20:00:00,2023-02-18 20:00:00,24608.34,24628.62,24514.03,24594.7,8745.71153,1676753999999.0,215062555.2281686,263345.0,4212.73167,103595761.5639872,0.0
2023-02-18 21:00:00,2023-02-18 21:00:00,24594.69,24639.4,24580.62,24615.83,4951.92143,1676757599999.0,121869539.2306347,181918.0,2508.87261,61746017.7182066,0.0
2023-02-18 22:00:00,2023-02-18 22:00:00,24616.31,24664.9,24599.22,24627.32,4849.18376,1676761199999.0,119444142.9877986,184946.0,2438.10271,60057330.3095755,0.0
2023-02-18 23:00:00,2023-02-18 23:00:00,24627.32,24666.0,24618.67,24631.95,4557.33668,1676764799999.0,112271447.3711465,174710.0,2306.01854,56811025.349338,0.0
2023-02-19 00:00:00,2023-02-19 00:00:00,24632.05,24764.85,24622.18,24739.25,7487.83417,1676768399999.0,184911139.5518016,262510.0,3970.75642,98060552.4039812,0.0
2023-02-19 01:00:00,2023-02-19 01:00:00,24739.23,24770.67,24635.94,24707.49,7639.09295,1676771999999.0,188755637.3619993,254899.0,3738.87084,92388045.6602967,0.0
2023-02-19 02:00:00,2023-02-19 02:00:00,24708.1,24733.29,24667.3,24683.57,4925.51935,1676775599999.0,121640018.2823246,172405.0,2438.1054,60215196.5715492,0.0
2023-02-19 03:00:00,2023-02-19 03:00:00,24683.02,24710.0,24660.05,24681.69,4503.87003,1676779199999.0,111188485.4231368,151196.0,2224.02967,54907196.6204995,0.0
2023-02-19 04:00:00,2023-02-19 04:00:00,24682.1,24729.2,24672.5,24712.85,5543.1487,1676782799999.0,136899492.7642249,180820.0,2920.01416,72118648.4611219,0.0
2023-02-19 05:00:00,2023-02-19 05:00:00,24712.38,24850.0,24706.39,24757.63,13097.85675,1676786399999.0,324474245.6091667,342589.0,6664.79619,165111527.8412996,0.0
2023-02-19 06:00:00,2023-02-19 06:00:00,24758.16,24760.79,24610.2,24628.59,10705.2844,1676789999999.0,264259784.6551811,284051.0,5157.02398,127304064.7581623,0.0
2023-02-19 07:00:00,2023-02-19 07:00:00,24629.41,24666.57,24563.23,24582.62,8930.08497,1676793599999.0,219840786.0676621,254612.0,4391.81581,108123071.5869869,0.0
