date,date,open,high,low,close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2022-02-17 00:00:00,2022-02-17 00:00:00,43873.56,44100.23,43822.28,44060.74,840.53758,1645059599999.0,36935543.92313,25425.0,431.18158,18943729.2465347,0.0
2022-02-17 01:00:00,2022-02-17 01:00:00,44060.75,44164.71,43968.58,44006.09,798.9191,1645063199999.0,35198246.0520401,24262.0,282.13961,12430701.8435304,0.0
2022-02-17 02:00:00,2022-02-17 02:00:00,44006.09,44095.73,43824.68,43995.48,848.1442,1645066799999.0,37275896.5514978,24929.0,398.99273,17532099.80786,0.0
2022-02-17 03:00:00,2022-02-17 03:00:00,43995.48,44010.0,43575.04,43583.05,1057.71326,1645070399999.0,46346295.3665679,30818.0,413.5404,18127613.1724862,0.0
2022-02-17 04:00:00,2022-02-17 04:00:00,43580.0,43710.42,43350.0,43615.72,2088.95628,1645073999999.0,90913031.5772267,41936.0,785.69505,34207244.0252532,0.0
2022-02-17 05:00:00,2022-02-17 05:00:00,43615.72,43707.77,43514.77,43617.4,544.39246,1645077599999.0,23748127.2608206,21485.0,244.86408,10682088.0913045,0.0
2022-02-17 06:00:00,2022-02-17 06:00:00,43617.41,43900.56,43573.5,43838.8,812.00255,1645081199999.0,35537411.5294126,23649.0,402.30691,17607249.4739962,0.0
2022-02-17 07:00:00,2022-02-17 07:00:00,43838.8,43950.0,43750.98,43919.46,613.03626,1645084799999.0,26869107.5258576,21499.0,322.32176,14125173.9609382,0.0
2022-02-17 08:00:00,2022-02-17 08:00:00,43919.46,44022.36,43330.0,43468.21,2269.05556,1645088399999.0,98905878.7486984,49399.0,1069.67279,46628086.9845507,0.0
2022-02-17 09:00:00,2022-02-17 09:00:00,43468.21,43529.79,42900.0,43216.34,2175.1604,1645091999999.0,93953210.5273894,56737.0,951.13688,41098631.6012078,0.0
2022-02-17 10:00:00,2022-02-17 10:00:00,43216.33,43342.0,42925.06,43049.99,1239.40185,1645095599999.0,53524590.4063343,32380.0,563.23625,24328518.7873654,0.0
2022-02-17 11:00:00,2022-02-17 11:00:00,43050.0,43207.47,42977.67,43164.05,1405.48148,1645099199999.0,60579904.4047497,32562.0,794.03411,34224399.0379225,0.0
2022-02-17 12:00:00,2022-02-17 12:00:00,43164.05,43340.65,43140.57,43213.25,1024.17387,1645102799999.0,44320077.8925441,29445.0,499.20017,21602955.2945283,0.0
2022-02-17 13:00:00,2022-02-17 13:00:00,43213.26,43289.92,42142.27,42239.99,4651.47287,1645106399999.0,197930076.8237316,89788.0,2118.02207,90110694.3384213,0.0
2022-02-17 14:00:00,2022-02-17 14:00:00,42239.99,42392.0,41837.61,41926.31,4306.15186,1645109999999.0,181484766.1458574,81741.0,1941.29102,81836149.9774316,0.0
2022-02-17 15:00:00,2022-02-17 15:00:00,41926.31,42131.05,41700.0,41925.44,2835.5631,1645113599999.0,118898554.5101827,54560.0,1289.38124,54078636.1682759,0.0
2022-02-17 16:00:00,2022-02-17 16:00:00,41925.44,42111.0,41641.0,41979.68,2740.66126,1645117199999.0,114941592.8506527,51782.0,1394.55885,58496349.3680323,0.0
2022-02-17 17:00:00,2022-02-17 17:00:00,41979.68,41995.2,41600.0,41746.21,1542.85074,1645120799999.0,64494554.0582343,38459.0,721.05731,30145631.3491477,0.0
2022-02-17 18:00:00,2022-02-17 18:00:00,41746.21,41868.83,40750.02,41292.65,5220.46198,1645124399999.0,215140983.1395346,107813.0,2244.53519,92515165.0217148,0.0
2022-02-17 19:00:00,2022-02-17 19:00:00,41292.66,41292.66,40940.64,41201.62,1521.45222,1645127999999.0,62556325.5838794,38479.0,710.35146,29206208.2874713,0.0
2022-02-17 20:00:00,2022-02-17 20:00:00,41204.22,41204.22,40851.2,40882.85,1666.50815,1645131599999.0,68339274.7910356,40059.0,809.92448,33211566.9657569,0.0
2022-02-17 21:00:00,2022-02-17 21:00:00,40878.68,40950.04,40073.21,40666.82,4711.91917,1645135199999.0,190821979.6372883,89808.0,1993.7029,80745878.6731537,0.0
2022-02-17 22:00:00,2022-02-17 22:00:00,40666.82,40753.47,40422.94,40711.68,1056.94529,1645138799999.0,42905842.9020055,33224.0,502.13982,20386001.0488116,0.0
2022-02-17 23:00:00,2022-02-17 23:00:00,40712.96,40761.06,40446.6,40515.7,1275.03345,1645142399999.0,51778890.7393955,27419.0,585.31936,23767437.2561632,0.0
2022-02-18 00:00:00,2022-02-18 00:00:00,40515.71,40668.41,40300.0,40563.91,1769.28818,1645145999999.0,71622971.0927694,34117.0,852.09425,34502140.3927329,0.0
2022-02-18 01:00:00,2022-02-18 01:00:00,40563.91,40950.0,40362.92,40784.37,1868.30152,1645149599999.0,76006535.3714626,41660.0,863.73243,35141005.5452642,0.0
2022-02-18 02:00:00,2022-02-18 02:00:00,40784.36,40886.26,40666.26,40762.43,980.18665,1645153199999.0,39950456.3761184,26825.0,439.06435,17892100.1789954,0.0
2022-02-18 03:00:00,2022-02-18 03:00:00,40762.42,40770.19,40574.02,40691.98,682.64164,1645156799999.0,27759210.6980315,24501.0,303.56699,12344439.3390603,0.0
2022-02-18 04:00:00,2022-02-18 04:00:00,40691.97,40777.77,40496.57,40513.23,897.70306,1645160399999.0,36492793.0612676,27398.0,395.17278,16067642.6107683,0.0
2022-02-18 05:00:00,2022-02-18 05:00:00,40513.24,40711.3,40493.31,40625.63,793.71474,1645163999999.0,32238828.1161093,29170.0,344.25787,13980897.827616,0.0
2022-02-18 06:00:00,2022-02-18 06:00:00,40625.62,40745.0,40575.74,40712.19,837.39545,1645167599999.0,34053146.3826646,32960.0,371.55662,15109386.8723227,0.0
2022-02-18 07:00:00,2022-02-18 07:00:00,40712.19,40780.64,40560.01,40665.81,935.30701,1645171199999.0,38042929.2480383,33238.0,431.69372,17560332.0022187,0.0
2022-02-18 08:00:00,2022-02-18 08:00:00,40665.81,40959.88,40654.11,40868.39,1307.44194,1645174799999.0,53320896.8490258,44451.0,657.24779,26806015.5108852,0.0
2022-02-18 09:00:00,2022-02-18 09:00:00,40868.39,40919.35,40764.55,40873.0,890.80147,1645178399999.0,36384277.8182763,35609.0,416.20151,17000131.055395,0.0
2022-02-18 10:00:00,2022-02-18 10:00:00,40872.99,40877.21,40691.36,40788.01,1049.78806,1645181999999.0,42800852.008996,31428.0,445.51468,18164108.8952769,0.0
2022-02-18 11:00:00,2022-02-18 11:00:00,40788.02,40805.0,40101.01,40178.94,2714.72547,1645185599999.0,109542062.6612584,60437.0,1216.24837,49060372.1147407,0.0
2022-02-18 12:00:00,2022-02-18 12:00:00,40178.95,40558.0,40082.09,40441.43,1986.79608,1645189199999.0,80185019.7644234,42197.0,978.45458,39489950.2990708,0.0
2022-02-18 13:00:00,2022-02-18 13:00:00,40441.44,40533.06,40186.57,40387.81,2572.49661,1645192799999.0,103821270.2568226,46978.0,1149.24743,46383453.478811,0.0
2022-02-18 14:00:00,2022-02-18 14:00:00,40387.8,40517.77,39616.72,40483.81,5977.05012,1645196399999.0,239412480.8169965,100924.0,2969.69158,118977073.7694865,0.0
2022-02-18 15:00:00,2022-02-18 15:00:00,40483.82,40799.0,39660.0,39832.03,5194.14519,1645199999999.0,208269727.2644882,88806.0,2125.36261,85259203.4281166,0.0
2022-02-18 16:00:00,2022-02-18 16:00:00,39832.02,40438.27,39450.0,39933.41,5206.14989,1645203599999.0,208047936.2755049,88889.0,2534.01666,101371461.711871,0.0
2022-02-18 17:00:00,2022-02-18 17:00:00,39933.42,40370.78,39915.03,40022.97,1909.33398,1645207199999.0,76594017.0555501,46867.0,924.5777,37090862.4994824,0.0
2022-02-18 18:00:00,2022-02-18 18:00:00,40022.97,40229.79,39790.0,40140.15,1515.41731,1645210799999.0,60591260.1412972,43911.0,779.09918,31153945.4837168,0.0
2022-02-18 19:00:00,2022-02-18 19:00:00,40140.15,40340.0,40050.0,40216.8,1107.18955,1645214399999.0,44490926.0868689,33187.0,593.33436,23843338.3240226,0.0
2022-02-18 20:00:00,2022-02-18 20:00:00,40216.79,40286.09,39941.57,40025.79,1207.19344,1645217999999.0,48373029.9274394,31363.0,629.51056,25224170.4643373,0.0
2022-02-18 21:00:00,2022-02-18 21:00:00,40025.79,40158.94,39900.0,39971.04,806.91235,1645221599999.0,32300994.3057946,23448.0,410.15062,16417498.4173568,0.0
2022-02-18 22:00:00,2022-02-18 22:00:00,39971.05,40062.17,39711.31,39940.0,960.733,1645225199999.0,38300349.1543932,31923.0,483.21225,19266144.9313649,0.0
2022-02-18 23:00:00,2022-02-18 23:00:00,39940.01,40082.39,39885.72,39974.44,675.2097,1645228799999.0,27020395.2191589,25595.0,296.05875,11847397.2610395,0.0
2022-02-19 00:00:00,2022-02-19 00:00:00,39974.45,40243.51,39915.89,40201.59,1019.02185,1645232399999.0,40858422.5214242,31743.0,485.74182,19474236.6729119,0.0
2022-02-19 01:00:00,2022-02-19 01:00:00,40201.6,40307.22,40060.61,40151.39,691.1021,1645235999999.0,27776878.352271,22813.0,382.79263,15388867.6061786,0.0
2022-02-19 02:00:00,2022-02-19 02:00:00,40151.38,40212.98,40073.75,40155.22,431.07519,1645239599999.0,17305760.855872,15309.0,150.64323,6047869.185003,0.0
2022-02-19 03:00:00,2022-02-19 03:00:00,40155.22,40227.14,40061.07,40125.12,443.33016,1645243199999.0,17796758.5096275,16175.0,205.32458,8243170.8282081,0.0
2022-02-19 04:00:00,2022-02-19 04:00:00,40125.13,40285.79,40060.88,40212.56,677.67241,1645246799999.0,27224431.7322594,21011.0,302.04995,12135218.8657985,0.0
2022-02-19 05:00:00,2022-02-19 05:00:00,40212.57,40246.47,40150.16,40237.75,385.05279,1645250399999.0,15481784.9850228,17245.0,202.41522,8138550.5716497,0.0
2022-02-19 06:00:00,2022-02-19 06:00:00,40237.76,40444.32,40208.67,40370.01,713.36402,1645253999999.0,28766995.9624126,27551.0,390.41259,15743903.9217598,0.0
2022-02-19 07:00:00,2022-02-19 07:00:00,40370.01,40407.31,40241.86,40263.71,503.5849,1645257599999.0,20306732.6293953,20648.0,223.74482,9023088.9187539,0.0
2022-02-19 08:00:00,2022-02-19 08:00:00,40263.7,40301.11,39933.83,39976.14,840.66624,1645261199999.0,33730084.3387388,28997.0,319.02449,12806454.9079178,0.0
2022-02-19 09:00:00,2022-02-19 09:00:00,39976.13,40057.67,39869.39,39926.26,746.02156,1645264799999.0,29818206.8094249,25245.0,345.70222,13818390.8374148,0.0
2022-02-19 10:00:00,2022-02-19 10:00:00,39926.26,39974.98,39757.43,39946.01,964.02501,1645268399999.0,38422290.2511305,29597.0,431.39831,17197694.9379498,0.0
2022-02-19 11:00:00,2022-02-19 11:00:00,39946.01,40032.7,39648.6,39842.54,1713.61364,1645271999999.0,68216260.1319795,42526.0,683.2948,27196612.1301788,0.0
2022-02-19 12:00:00,2022-02-19 12:00:00,39842.53,39950.0,39661.3,39754.99,1161.486,1645275599999.0,46226796.6544947,32658.0,596.85973,23759268.0021247,0.0
2022-02-19 13:00:00,2022-02-19 13:00:00,39754.98,40076.94,39639.03,40017.88,1224.64172,1645279199999.0,48835367.8240332,36631.0,653.51958,26069068.5453982,0.0
2022-02-19 14:00:00,2022-02-19 14:00:00,40017.88,40017.88,39771.31,39867.75,832.36516,1645282799999.0,33203257.6050119,28144.0,345.35784,13775891.4132051,0.0
2022-02-19 15:00:00,2022-02-19 15:00:00,39867.76,40013.87,39803.76,39969.93,704.70296,1645286399999.0,28139207.5625982,24037.0,338.4102,13514768.2092852,0.0
