date,date,open,high,low,close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-08-17 00:00:00,2020-08-17 00:00:00,433.61,435.0,429.11,430.52,25032.99361,1597625999999.0,10809231.077128,14391.0,13328.77396,5757855.6893165,0.0
2020-08-17 01:00:00,2020-08-17 01:00:00,430.5,430.5,424.7,427.82,37433.85658,1597629599999.0,15979059.5995736,17026.0,19468.30928,8307074.1759837,0.0
2020-08-17 02:00:00,2020-08-17 02:00:00,427.81,428.56,421.56,426.17,36189.77779,1597633199999.0,15361769.0052513,18762.0,15467.01531,6563910.7329802,0.0
2020-08-17 03:00:00,2020-08-17 03:00:00,426.16,427.47,423.03,425.66,22278.10091,1597636799999.0,9474931.9021454,12847.0,10790.86488,4589834.6057664,0.0
2020-08-17 04:00:00,2020-08-17 04:00:00,425.7,425.81,422.1,422.52,25595.0656,1597640399999.0,10846385.9500381,12955.0,13522.96217,5730747.5214036,0.0
2020-08-17 05:00:00,2020-08-17 05:00:00,422.54,426.0,421.13,421.9,19439.29176,1597643999999.0,8233184.3836678,11855.0,9644.17555,4086274.66105,0.0
2020-08-17 06:00:00,2020-08-17 06:00:00,421.9,426.35,420.37,424.05,23120.08064,1597647599999.0,9798481.8345087,13179.0,11506.89604,4880009.8754436,0.0
2020-08-17 07:00:00,2020-08-17 07:00:00,424.01,425.81,422.1,423.6,17778.40175,1597651199999.0,7541731.5877113,10971.0,9145.28189,3879166.2317844,0.0
2020-08-17 08:00:00,2020-08-17 08:00:00,423.6,429.96,423.26,428.71,35014.72378,1597654799999.0,14947037.3472144,18183.0,18349.13184,7833541.8696578,0.0
2020-08-17 09:00:00,2020-08-17 09:00:00,428.71,429.78,425.65,425.93,22547.63174,1597658399999.0,9642334.1237961,12625.0,10955.7259,4686275.5812566,0.0
2020-08-17 10:00:00,2020-08-17 10:00:00,425.94,428.84,424.74,425.85,26084.51415,1597661999999.0,11133806.5320679,14624.0,12326.50836,5261871.136265,0.0
2020-08-17 11:00:00,2020-08-17 11:00:00,425.85,428.81,425.43,428.14,27063.63481,1597665599999.0,11552832.804463,15061.0,14068.23635,6004780.0745662,0.0
2020-08-17 12:00:00,2020-08-17 12:00:00,428.15,430.86,424.6,426.21,38718.9684,1597669199999.0,16574532.2629108,20481.0,20635.36893,8835830.369157,0.0
2020-08-17 13:00:00,2020-08-17 13:00:00,426.2,431.94,422.35,429.81,82206.8495,1597672799999.0,35192259.8512959,40326.0,40154.45229,17197881.2282343,0.0
2020-08-17 14:00:00,2020-08-17 14:00:00,429.81,432.09,427.0,431.48,48506.04338,1597676399999.0,20853795.2399093,23893.0,21938.34641,9435670.778286,0.0
2020-08-17 15:00:00,2020-08-17 15:00:00,431.37,440.88,428.91,440.87,95275.21049,1597679999999.0,41490462.6707318,41897.0,53707.00122,23399008.0572574,0.0
2020-08-17 16:00:00,2020-08-17 16:00:00,440.87,446.0,437.5,439.03,105423.89114,1597683599999.0,46518541.3504532,44813.0,56052.31513,24741424.7332562,0.0
2020-08-17 17:00:00,2020-08-17 17:00:00,439.03,442.2,438.72,440.94,30419.61812,1597687199999.0,13395669.7319637,16842.0,16474.47196,7254850.0717228,0.0
2020-08-17 18:00:00,2020-08-17 18:00:00,440.95,442.07,435.0,436.08,26442.96617,1597690799999.0,11600583.0804743,14716.0,11563.15463,5074671.8343288,0.0
2020-08-17 19:00:00,2020-08-17 19:00:00,436.07,438.29,434.84,437.37,19257.11365,1597694399999.0,8411702.6880001,10640.0,9597.2326,4193039.329338,0.0
2020-08-17 20:00:00,2020-08-17 20:00:00,437.39,439.35,436.4,437.72,16275.71727,1597697999999.0,7124792.1618405,8791.0,8435.69255,3691717.4675748,0.0
2020-08-17 21:00:00,2020-08-17 21:00:00,437.71,439.44,435.2,438.3,14854.83952,1597701599999.0,6491490.7178079,11867.0,7100.38005,3103059.5411109,0.0
2020-08-17 22:00:00,2020-08-17 22:00:00,438.31,439.85,436.6,437.61,19427.14815,1597705199999.0,8510466.2183455,11475.0,9099.20386,3986564.8075607,0.0
2020-08-17 23:00:00,2020-08-17 23:00:00,437.61,439.11,428.0,430.89,54484.21105,1597708799999.0,23553917.3862179,25340.0,21551.39483,9319824.2925032,0.0
2020-08-18 00:00:00,2020-08-18 00:00:00,430.89,433.81,430.02,432.94,28021.72794,1597712399999.0,12112961.2923817,16099.0,13795.5402,5963967.8582789,0.0
2020-08-18 01:00:00,2020-08-18 01:00:00,433.0,433.03,428.5,429.61,24252.41214,1597715999999.0,10448352.6828974,14199.0,11401.79941,4912175.2175173,0.0
2020-08-18 02:00:00,2020-08-18 02:00:00,429.61,432.62,427.74,432.45,21585.3112,1597719599999.0,9290364.1127313,12109.0,11704.86798,5037764.7095787,0.0
2020-08-18 03:00:00,2020-08-18 03:00:00,432.4,432.51,427.9,429.94,31290.46341,1597723199999.0,13447973.8631873,13763.0,17438.19823,7495462.4095033,0.0
2020-08-18 04:00:00,2020-08-18 04:00:00,429.93,430.25,426.59,428.32,26857.02639,1597726799999.0,11505905.0513748,13657.0,11427.77447,4896098.6702547,0.0
2020-08-18 05:00:00,2020-08-18 05:00:00,428.3,429.5,426.18,428.16,20355.22246,1597730399999.0,8714070.1880141,11501.0,9077.83657,3886530.8154393,0.0
2020-08-18 06:00:00,2020-08-18 06:00:00,428.12,430.58,426.39,430.26,23684.57084,1597733999999.0,10143225.1529501,12238.0,12189.1062,5220367.5408306,0.0
2020-08-18 07:00:00,2020-08-18 07:00:00,430.22,430.45,428.13,429.5,18205.60712,1597737599999.0,7817168.051773,10173.0,9323.17401,4002926.1400143,0.0
2020-08-18 08:00:00,2020-08-18 08:00:00,429.5,431.19,429.0,430.63,25832.32199,1597741199999.0,11113453.9361487,13409.0,12965.09655,5577683.5194717,0.0
2020-08-18 09:00:00,2020-08-18 09:00:00,430.63,430.63,428.41,429.11,18753.72157,1597744799999.0,8053929.1730229,9951.0,10027.09017,4306300.5839479,0.0
2020-08-18 10:00:00,2020-08-18 10:00:00,429.08,431.92,428.32,430.96,22788.31888,1597748399999.0,9801558.5473271,11472.0,10944.2597,4707778.3926777,0.0
2020-08-18 11:00:00,2020-08-18 11:00:00,430.97,431.69,426.88,426.99,29257.13677,1597751999999.0,12573900.6912328,15402.0,12066.04199,5189139.7095176,0.0
2020-08-18 12:00:00,2020-08-18 12:00:00,427.0,430.14,426.81,429.41,31870.14152,1597755599999.0,13661230.9139803,15502.0,17372.43376,7447922.6380207,0.0
2020-08-18 13:00:00,2020-08-18 13:00:00,429.41,430.3,421.17,426.04,62393.25464,1597759199999.0,26571922.1214646,28340.0,26015.83542,11089016.3563296,0.0
2020-08-18 14:00:00,2020-08-18 14:00:00,426.09,427.07,415.0,422.32,120158.15456,1597762799999.0,50516002.8276786,53793.0,54015.10052,22715824.2115633,0.0
